"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"AGT-Q01","AGT-Q01-R01","Agents have full access to all tools without limits.","1","Y","Y","0"
"AGT-Q01","AGT-Q01-R02","Static access control; no runtime policy checks.","2","N","Y","25"
"AGT-Q01","AGT-Q01-R03","Role-based tool access assigned per agent persona.","3","N","Y","50"
"AGT-Q01","AGT-Q01-R04","Runtime policy checks for action approval using Open Policy Agent (OPA) or Casbin.","4","N","Y","75"
"AGT-Q01","AGT-Q01-R05","Context-aware execution with dynamic tool scoping via Pydantic AI validators.","5","N","Y","100"
"AGT-Q02","AGT-Q02-R01","Agents pursue unintended or unbounded objectives.","1","Y","Y","0"
"AGT-Q02","AGT-Q02-R02","Manual monitoring of agent logs for goal drift.","2","N","Y","25"
"AGT-Q02","AGT-Q02-R03","Strictly bounded prompts with termination criteria.","3","N","Y","50"
"AGT-Q02","AGT-Q02-R04","Scoped objectives and iteration limits defined via LangChain callbacks.","4","N","Y","75"
"AGT-Q02","AGT-Q02-R05","Strict outcome validation using Pydantic output schemas to prevent drift.","5","N","Y","100"
"AGT-Q03","AGT-Q03-R01","Malicious context directly hijacks agent reasoning.","1","Y","Y","0"
"AGT-Q03","AGT-Q03-R02","Basic input sanitisation for known attack strings.","2","N","Y","25"
"AGT-Q03","AGT-Q03-R03","Policy-as-code engines used for plan approval pre-execution.","3","N","Y","50"
"AGT-Q03","AGT-Q03-R04","Multi-layer guardrails on reasoning paths via Open Policy Agent (OPA).","4","N","Y","75"
"AGT-Q03","AGT-Q03-R05","Zero-trust context architecture using Lakera Guard to isolate agent reasoning.","5","N","Y","100"
"AGT-Q04","AGT-Q04-R01","Agent operates as root or with administrative privileges.","1","Y","Y","0"
"AGT-Q04","AGT-Q04-R02","Hardcoded credentials; broad access across systems.","2","N","Y","25"
"AGT-Q04","AGT-Q04-R03","Least-privilege permissions; limited to non-destructive tools.","3","N","Y","50"
"AGT-Q04","AGT-Q04-R04","Dynamic permission scoping based on task context via SpiffWorkflow.","4","N","Y","75"
"AGT-Q04","AGT-Q04-R05","Just-in-time tokens and restricted session-based privileges via Temporal.io.","5","N","Y","100"
"AGT-Q05","AGT-Q05-R01","Universal memory shared across all agent cohorts.","1","Y","Y","0"
"AGT-Q05","AGT-Q05-R02","Manual intervention to clear session data periodically.","2","N","Y","25"
"AGT-Q05","AGT-Q05-R03","Per-session memory isolation implemented.","3","N","Y","50"
"AGT-Q05","AGT-Q05-R04","Isolated vector stores using Pinecone namespaces to prevent contamination.","4","N","Y","75"
"AGT-Q05","AGT-Q05-R05","Cryptographic tenant isolation in memory via PGVector per-tenant stores.","5","N","Y","100"
"AGT-Q06","AGT-Q06-R01","No monitoring for recursive tool calling.","1","Y","Y","0"
"AGT-Q06","AGT-Q06-R02","Manual stop implemented when resource costs spike.","2","N","Y","25"
"AGT-Q06","AGT-Q06-R03","Iteration limits enforced at the orchestrator level.","3","N","Y","50"
"AGT-Q06","AGT-Q06-R04","Recursion limits and loop detection callbacks via LangChain.","4","N","Y","75"
"AGT-Q06","AGT-Q06-R05","Automated circuit breakers for recursive patterns via Resilience4j.","5","N","Y","100"
"AGT-Q07","AGT-Q07-R01","Agents send sensitive data to unverified endpoints.","1","Y","Y","0"
"AGT-Q07","AGT-Q07-R02","Basic egress filtering on known tool endpoints.","2","N","Y","25"
"AGT-Q07","AGT-Q07-R03","Static DLP scanning on common exfiltration paths.","3","N","Y","50"
"AGT-Q07","AGT-Q07-R04","Inline redaction of PII/secrets in agent tool outputs via Presidio.","4","N","Y","75"
"AGT-Q07","AGT-Q07-R05","Real-time exfiltration blocking using Nightfall AI or Lakera Guard.","5","N","Y","100"
"AGT-Q08","AGT-Q08-R01","Fully autonomous execution of high-risk financial actions.","1","Y","Y","0"
"AGT-Q08","AGT-Q08-R02","Post-execution alerts; no ability to halt actions.","2","N","Y","25"
"AGT-Q08","AGT-Q08-R03","Manual flagging of critical tasks for potential review.","3","N","Y","50"
"AGT-Q08","AGT-Q08-R04","Risk-scored task classification and approval queues via n8n nodes.","4","N","Y","75"
"AGT-Q08","AGT-Q08-R05","Hard human-in-the-loop gating for all financial tasks via LangGraph.","5","N","Y","100"
"AGT-Q09","AGT-Q09-R01","Excessive context leading to model hallucinations.","1","Y","Y","0"
"AGT-Q09","AGT-Q09-R02","Manual prompt engineering to reduce context window usage.","2","N","Y","25"
"AGT-Q09","AGT-Q09-R03","Hard token limits enforced on context windows.","3","N","Y","50"
"AGT-Q09","AGT-Q09-R04","Dynamic context truncation and window management via LangChain.","4","N","Y","75"
"AGT-Q09","AGT-Q09-R05","Intelligent summarisation and schema validation via Pydantic.","5","N","Y","100"
"AGT-Q10","AGT-Q10-R01","Chaining benign tools for malicious outcomes.","1","Y","Y","0"
"AGT-Q10","AGT-Q10-R02","Manual review of common tool-chain runbooks.","2","N","Y","25"
"AGT-Q10","AGT-Q10-R03","Policy-as-code approval for common sequences.","3","N","Y","50"
"AGT-Q10","AGT-Q10-R04","Risk-gated orchestration using Airflow sensors to score impact.","4","N","Y","75"
"AGT-Q10","AGT-Q10-R05","Automated state transition checks via Temporal workflows.","5","N","Y","100"
"API-Q01","API-Q01-R01","Static keys with no rotation or MFA.","1","Y","Y","0"
"API-Q01","API-Q01-R02","Long-lived keys with manual tracking.","2","N","Y","25"
"API-Q01","API-Q01-R03","Key rotation policy in place with vault storage.","3","N","Y","50"
"API-Q01","API-Q01-R04","Automated rotation via HashiCorp Vault or AWS Secrets Manager.","4","N","Y","75"
"API-Q01","API-Q01-R05","Short-lived JWTs and secure auth via OAuth2, Keycloak, or Auth0.","5","N","Y","100"
"API-Q02","API-Q02-R01","No throttling; high-volume extraction possible.","1","Y","Y","0"
"API-Q02","API-Q02-R02","Static global limits applied at the gateway.","2","N","Y","25"
"API-Q02","API-Q02-R03","Per-key and global rate limits implemented.","3","N","Y","50"
"API-Q02","API-Q02-R04","Behavioural detection for anomaly query volumes via Splunk UEBA.","4","N","Y","75"
"API-Q02","API-Q02-R05","ML-based baselines and real-time adaptive throttling.","5","N","Y","100"
"API-Q03","API-Q03-R01","No backend validation; malicious payloads accepted.","1","Y","Y","0"
"API-Q03","API-Q03-R02","Basic keyword-based input sanitisation.","2","N","Y","25"
"API-Q03","API-Q03-R03","Backend validation logic embedded in the API layer.","3","N","Y","50"
"API-Q03","API-Q03-R04","Inline DLP scanning before context release via Nightfall AI or Presidio.","4","N","Y","75"
"API-Q03","API-Q03-R05","Zero-trust ingress with real-time payload inspection using Lakera Guard.","5","N","Y","100"
"API-Q04","API-Q04-R01","Universal tokens allowing all operations.","1","Y","Y","0"
"API-Q04","API-Q04-R02","Broad role-based access; high privilege escalation risk.","2","N","Y","25"
"API-Q04","API-Q04-R03","Granular RBAC scoping APIs by asset type and action.","3","N","Y","50"
"API-Q04","API-Q04-R04","FastAPI-integrated middleware using Casbin for fine-grained control.","4","N","Y","75"
"API-Q04","API-Q04-R05","Dynamic scope assignment and just-in-time (JIT) API permissions.","5","N","Y","100"
"API-Q05","API-Q05-R01","Full stack traces leaked in error responses.","1","Y","Y","0"
"API-Q05","API-Q05-R02","Generic error messages with some technical detail.","2","N","Y","25"
"API-Q05","API-Q05-R03","Internal codes mapped to external IDs; no secrets leaked.","3","N","Y","50"
"API-Q05","API-Q05-R04","Automated redaction of error payloads via Presidio.","4","N","Y","75"
"API-Q05","API-Q05-R05","Fully sanitized/encrypted logs with no prompt or secret leakage.","5","N","Y","100"
"API-Q06","API-Q06-R01","Shared keys for all tenants; multi-tenant compromise risk.","1","Y","Y","0"
"API-Q06","API-Q06-R02","Static client buckets; no strict isolation.","2","N","Y","25"
"API-Q06","API-Q06-R03","Token-based identification of unique clients.","3","N","Y","50"
"API-Q06","API-Q06-R04","RBAC-enforced isolation by action and asset using Casbin.","4","N","Y","75"
"API-Q06","API-Q06-R05","Cryptographic multi-tenant isolation with per-client routing.","5","N","Y","100"
"API-Q07","API-Q07-R01","Unbounded compute/token consumption.","1","Y","Y","0"
"API-Q07","API-Q07-R02","Manual billing alerts triggered after thresholds.","2","N","Y","25"
"API-Q07","API-Q07-R03","Static monthly quotas assigned per API key.","3","N","Y","50"
"API-Q07","API-Q07-R04","Tiered quotas enforced via Redis-backed limiting.","4","N","Y","75"
"API-Q07","API-Q07-R05","Real-time token gating and automated resource circuit breakers.","5","N","Y","100"
"API-Q08","API-Q08-R01","No protection against service degradation.","1","Y","Y","0"
"API-Q08","API-Q08-R02","Basic IP-based rate limiting.","2","N","Y","25"
"API-Q08","API-Q08-R03","Standard per-key rate limiting implementation.","3","N","Y","50"
"API-Q08","API-Q08-R04","Distributed limiting and burst protection using FastAPI-Limiter.","4","N","Y","75"
"API-Q08","API-Q08-R05","Global protective gates with Redis-backed persistence.","5","N","Y","100"
"API-Q09","API-Q09-R01","No traffic logs; blind monitoring of abuse.","1","Y","Y","0"
"API-Q09","API-Q09-R02","Standard access logs; unstructured text.","2","N","Y","25"
"API-Q09","API-Q09-R03","Structured decision and action logs.","3","N","Y","50"
"API-Q09","API-Q09-R04","Tamper-proof traces stored in ELK stack or ClickHouse.","4","N","Y","75"
"API-Q09","API-Q09-R05","Full replayable traces for all orchestration paths.","5","N","Y","100"
"API-Q10","API-Q10-R01","Basic auth or keys without rotation.","1","Y","Y","0"
"API-Q10","API-Q10-R02","Static keys with irregular manual updates.","2","N","Y","25"
"API-Q10","API-Q10-R03","Standard OAuth2 implementation.","3","N","Y","50"
"API-Q10","API-Q10-R04","Vault-integrated rotation with defined policies.","4","N","Y","75"
"API-Q10","API-Q10-R05","MFA enabled with short-lived JWTs for all model endpoints.","5","N","Y","100"
"DST-Q01","DST-Q01-R01","No lineage or verification. Untracked data modifications allow malicious samples.","1","Y","Y","0"
"DST-Q01","DST-Q01-R02","Manual tracking. Logs of primary sources; no systematic integrity scanning.","2","N","Y","25"
"DST-Q01","DST-Q01-R03","Automated internal lineage. Basic provenance tracking via Apache Atlas.","3","N","Y","50"
"DST-Q01","DST-Q01-R04","Validated integrity. Provenance tracked upstream; hashes validated via DataHub.","4","N","Y","75"
"DST-Q01","DST-Q01-R05","Leading detection. Real-time adversarial scans using ART or CleanLab.","5","N","Y","100"
"DST-Q02","DST-Q02-R01","Raw PII exposed. Discovery or masking is absent; model memorises sensitive records.","1","Y","Y","0"
"DST-Q02","DST-Q02-R02","Manual redaction. Ad-hoc removal of high-profile fields; no automation.","2","N","Y","25"
"DST-Q02","DST-Q02-R03","Automated scanners. Pipeline scanners like Nabu Casa flag some data.","3","N","Y","50"
"DST-Q02","DST-Q02-R04","Automated classification. Data classified/quarantined via Microsoft Information Protection.","4","N","Y","75"
"DST-Q02","DST-Q02-R05","Real-time DLP. Validated tokenisation and privacy layers using Presidio or Opacus.","5","N","Y","100"
"DST-Q03","DST-Q03-R01","No monitoring. Silent distribution shifts cause model performance degradation.","1","Y","Y","0"
"DST-Q03","DST-Q03-R02","Irregular checks. Ad-hoc manual verification of data distribution.","2","N","Y","25"
"DST-Q03","DST-Q03-R03","Schema validation. Freshness and schema checks via Data Quality DBT.","3","N","Y","50"
"DST-Q03","DST-Q03-R04","Continuous monitoring. Drift alerts and tracking implemented via Evidently AI.","4","N","Y","75"
"DST-Q03","DST-Q03-R05","Automated gating. Drift-driven circuit breakers using WhyLabs and Great Expectations.","5","N","Y","100"
"DST-Q04","DST-Q04-R01","Cleartext credentials. API keys or credentials embedded in training/RAG data.","1","Y","Y","0"
"DST-Q04","DST-Q04-R02","Manual search. Ad-hoc removal of keys upon discovery; high risk of oversight.","2","N","Y","25"
"DST-Q04","DST-Q04-R03","Automated scanning. Keyword scanners in pipelines for common secret formats.","3","N","Y","50"
"DST-Q04","DST-Q04-R04","Ingestion masking. Secrets automatically identified/redacted via Microsoft Information Protection.","4","N","Y","75"
"DST-Q04","DST-Q04-R05","Vault integration. Automated revocation and sanitisation via HashiCorp Vault.","5","N","Y","100"
"DST-Q05","DST-Q05-R01","No 3rd party verification. Ingestion from public repos without technical checks.","1","Y","Y","0"
"DST-Q05","DST-Q05-R02","Reputation reliance. Trusting vendor claims without independent verification.","2","N","Y","25"
"DST-Q05","DST-Q05-R03","Periodic audits. Manual auditing of third-party data samples quarterly.","3","N","Y","50"
"DST-Q05","DST-Q05-R04","Automated 3rd party lineage. Checksum validation and source tracking via DataHub.","4","N","Y","75"
"DST-Q05","DST-Q05-R05","Real-time integrity. Continuous monitoring of external repositories via ART tools.","5","N","Y","100"
"DST-Q06","DST-Q06-R01","Indefinite storage. Long-term storage expands the breach blast radius.","1","Y","Y","0"
"DST-Q06","DST-Q06-R02","Manual deletion. Data purged manually following project closure; inconsistent.","2","N","Y","25"
"DST-Q06","DST-Q06-R03","Policy defined. Retention periods defined by data class; manually enforced.","3","N","Y","50"
"DST-Q06","DST-Q06-R04","Automated purging. Cron-based purging and PostgreSQL partitioning implemented.","4","N","Y","75"
"DST-Q06","DST-Q06-R05","Lifecycle-driven. Automated policy-driven deletion via S3 lifecycle policies or Airflow.","5","N","Y","100"
"DST-Q07","DST-Q07-R01","No modification tracking. Incident investigations fail due to lack of audit trails.","1","Y","Y","0"
"DST-Q07","DST-Q07-R02","Manual spreadsheets. Major versions tracked in shared documents.","2","N","Y","25"
"DST-Q07","DST-Q07-R03","Final set versioning. Versioning applied only to final production training sets.","3","N","Y","50"
"DST-Q07","DST-Q07-R04","Full provenance. Audit trails for all modifications tracked via Apache Atlas.","4","N","Y","75"
"DST-Q07","DST-Q07-R05","Metadata management. Real-time, comprehensive lineage mapping via DataHub.","5","N","Y","100"
"DST-Q08","DST-Q08-R01","No validation. Garbage-in-garbage-out leads to systematic decision errors.","1","Y","Y","0"
"DST-Q08","DST-Q08-R02","Ad-hoc samples. Visual inspection of samples before training.","2","N","Y","25"
"DST-Q08","DST-Q08-R03","Automated checks. Freshness and schema checks run at pipeline ingress.","3","N","Y","50"
"DST-Q08","DST-Q08-R04","Continuous QA. End-to-end signal quality validation via Monte Carlo.","4","N","Y","75"
"DST-Q08","DST-Q08-R05","CI/CD quality gating. Automated pipeline halts for quality failures via Great Expectations.","5","N","Y","100"
"DST-Q09","DST-Q09-R01","No privacy controls. Attackers can determine if specific records were in training set.","1","Y","Y","0"
"DST-Q09","DST-Q09-R02","Basic masking. Standard identification of primary keys only.","2","N","Y","25"
"DST-Q09","DST-Q09-R03","Statistical de-identification. Manual application of Faker library for anonymisation.","3","N","Y","50"
"DST-Q09","DST-Q09-R04","Advanced pseudonymisation. Validated de-identification tested for reconstruction.","4","N","Y","75"
"DST-Q09","DST-Q09-R05","DP Integration. Differential privacy integrated into training via Opacus.","5","N","Y","100"
"DST-Q10","DST-Q10-R01","No quality testing. Poor synthetic data mimics real poisoning effects.","1","Y","Y","0"
"DST-Q10","DST-Q10-R02","Visual inspection. Samples reviewed manually for realism.","2","N","Y","25"
"DST-Q10","DST-Q10-R03","Statistical comparison. Automated comparison between real and synthetic sets.","3","N","Y","50"
"DST-Q10","DST-Q10-R04","Poison detection. Poison indicators scanned in all synthetic sets pre-usage.","4","N","Y","75"
