"af_name","atmp_code","atq_code","atq_text","atq_response_type","atq_question_type","atq_is_mandatory","atq_is_active","atq_sequence"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q01","Do you detect and block malicious signals that could hijack AI orchestration workflows?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q02","Do AI decisions automatically comply with business and regulatory rules?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q03","Do you detect and inventory all unauthorised AI systems operating in your environment?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q04","Do you monitor for silent degradation or drift in AI recommendations over time?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q05","Are third-party AI integrations protected against compromise affecting downstream systems?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q06","Can you trace end-to-end AI decisions and actions for audits?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q07","Do you monitor and limit AI workloads to prevent compute or infrastructure exhaustion?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q08","Do you prevent over-automation leading to unintended consequences?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q09","Have you assessed switching costs and dependencies on single AI vendors?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q10","Do you monitor for gradual erosion of ethical standards in AI usage?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q01","Do you protect models against malicious inputs that override system instructions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q02","Do you prevent attackers from querying models to steal weights or behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q03","Do you defend against crafted inputs designed to cause misclassification?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q04","Do you prevent bypassing of model safety guardrails and restrictions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q05","Do you stop reconstruction of training data from model outputs?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q06","Do you detect and mitigate high-confidence incorrect predictions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q07","Do you identify and correct bias amplification from poisoned training data?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q08","Do you scan for hidden triggers causing malicious model behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q09","Do you monitor models for silent degradation due to distribution shift?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q10","Do you preserve traceability markers against removal attempts?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q01","Do you restrict agents from calling destructive or high-privilege tools inappropriately?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q02","Do you ensure agents pursue only intended objectives without deviation?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q03","Do you protect agents from prompt injection hijacking reasoning via malicious context?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q04","Do you prevent agents from escalating to unauthorised system access or privileges?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q05","Do you safeguard shared memory from corruption affecting other agents?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q06","Do you detect and terminate agents stuck in recursive tool calling loops?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q07","Do you block multi-hop data leaks through agent tool chains?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q08","Do you enforce human oversight for high-risk agent actions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q09","Do you manage context size to prevent agent hallucination from overflow?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-AGENT-RISK","AGT-Q10","Do you monitor benign tool chaining for potential malicious outcomes?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q01","Do you scan datasets for malicious poisoning embedding backdoors or biases?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q02","Do you detect undiscovered personal data in datasets to avoid GDPR violations?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q03","Do you monitor datasets for distribution shifts degrading model performance?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q04","Do you identify embedded API keys or credentials in training datasets?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q05","Do you vet upstream/third-party datasets for compromise or poisoning?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q06","Do you enforce data retention policies to limit breach blast radius?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q07","Do you maintain audit trails for all dataset modifications and sources?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q08","Do you validate datasets for completeness to prevent garbage-in-garbage-out?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q09","Do you protect against attacks inferring if records were in training sets?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-DATASET-RISK","DST-Q10","Do you ensure synthetic data quality avoids mimicking real poisoning effects?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q01","Do you detect and revoke stolen API keys used for model extraction or fraud?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q02","Do you protect against high-volume attacks bypassing rate limits?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q03","Do you block malicious payloads injected via API poisoning model context?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q04","Do you enforce least-privilege scopes on API tokens?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q05","Do you sanitise error messages to avoid leaking prompts or secrets?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q06","Do you isolate tenants to prevent cross-client interference?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q07","Do you impose quotas to bound API compute consumption?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q08","Do you strengthen rate limits against abuse patterns?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q09","Do you log API calls for abuse detection and audits?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-API-RISK","API-Q10","Do you rotate API keys and replace legacy/basic auth?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q01","Do you block unauthorised MCP servers from receiving agent context?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q02","Do you minimise excessive data shared with MCP tools?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q03","Do you encrypt all MCP communications to prevent MITM attacks?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q04","Do you validate MCP tools against malicious code execution?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q05","Do you monitor MCP tool chaining for unintended outcomes?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q06","Do you maintain a registry to detect shadow MCP deployments?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q07","Do you enforce strong authentication for MCP tool calls?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q08","Do you monitor data egress via MCP channels?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q09","Do you detect MCP configuration drifts from approved states?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-MCP-RISK","MCP-Q10","Do you isolate MCP servers to limit impact from compromises?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
