Response Code,Risk ID,Asset Type,Risk Name,Score,Maturity Level,Response Option
AGT-Q01-R01,AGT-Q01,Agent,Tool Misuse,0,Gap,Agents have full access to all tools without limits.
AGT-Q01-R02,AGT-Q01,Agent,Tool Misuse,25,Weak,Static access control; no runtime policy checks.
AGT-Q01-R03,AGT-Q01,Agent,Tool Misuse,50,Baseline,Role-based tool access assigned per agent persona.
AGT-Q01-R04,AGT-Q01,Agent,Tool Misuse,75,Robust,Runtime policy checks for action approval using Open Policy Agent (OPA) or Casbin.
AGT-Q01-R05,AGT-Q01,Agent,Tool Misuse,100,Compliant,Context-aware execution with dynamic tool scoping via Pydantic AI validators.
AGT-Q02-R01,AGT-Q02,Agent,Goal Misalignment,0,Gap,Agents pursue unintended or unbounded objectives.
AGT-Q02-R02,AGT-Q02,Agent,Goal Misalignment,25,Weak,Manual monitoring of agent logs for goal drift.
AGT-Q02-R03,AGT-Q02,Agent,Goal Misalignment,50,Baseline,Strictly bounded prompts with termination criteria.
AGT-Q02-R04,AGT-Q02,Agent,Goal Misalignment,75,Robust,Scoped objectives and iteration limits defined via LangChain callbacks.
AGT-Q02-R05,AGT-Q02,Agent,Goal Misalignment,100,Compliant,Strict outcome validation using Pydantic output schemas to prevent drift.
AGT-Q03-R01,AGT-Q03,Agent,Prompt Injection,0,Gap,Malicious context directly hijacks agent reasoning.
AGT-Q03-R02,AGT-Q03,Agent,Prompt Injection,25,Weak,Basic input sanitisation for known attack strings.
AGT-Q03-R03,AGT-Q03,Agent,Prompt Injection,50,Baseline,Policy-as-code engines used for plan approval pre-execution.
AGT-Q03-R04,AGT-Q03,Agent,Prompt Injection,75,Robust,Multi-layer guardrails on reasoning paths via Open Policy Agent (OPA).
AGT-Q03-R05,AGT-Q03,Agent,Prompt Injection,100,Compliant,Zero-trust context architecture using Lakera Guard to isolate agent reasoning.
AGT-Q04-R01,AGT-Q04,Agent,Privilege Escalation,0,Gap,Agent operates as root or with administrative privileges.
AGT-Q04-R02,AGT-Q04,Agent,Privilege Escalation,25,Weak,Hardcoded credentials; broad access across systems.
AGT-Q04-R03,AGT-Q04,Agent,Privilege Escalation,50,Baseline,Least-privilege permissions; limited to non-destructive tools.
AGT-Q04-R04,AGT-Q04,Agent,Privilege Escalation,75,Robust,Dynamic permission scoping based on task context via SpiffWorkflow.
AGT-Q04-R05,AGT-Q04,Agent,Privilege Escalation,100,Compliant,Just-in-time tokens and restricted session-based privileges via Temporal.io.
AGT-Q05-R01,AGT-Q05,Agent,Shared State Poisoning,0,Gap,Universal memory shared across all agent cohorts.
AGT-Q05-R02,AGT-Q05,Agent,Shared State Poisoning,25,Weak,Manual intervention to clear session data periodically.
AGT-Q05-R03,AGT-Q05,Agent,Shared State Poisoning,50,Baseline,Per-session memory isolation implemented.
AGT-Q05-R04,AGT-Q05,Agent,Shared State Poisoning,75,Robust,Isolated vector stores using Pinecone namespaces to prevent contamination.
AGT-Q05-R05,AGT-Q05,Agent,Shared State Poisoning,100,Compliant,Cryptographic tenant isolation in memory via PGVector per-tenant stores.
AGT-Q06-R01,AGT-Q06,Agent,Infinite Loops,0,Gap,No monitoring for recursive tool calling.
AGT-Q06-R02,AGT-Q06,Agent,Infinite Loops,25,Weak,Manual stop implemented when resource costs spike.
AGT-Q06-R03,AGT-Q06,Agent,Infinite Loops,50,Baseline,Iteration limits enforced at the orchestrator level.
AGT-Q06-R04,AGT-Q06,Agent,Infinite Loops,75,Robust,Recursion limits and loop detection callbacks via LangChain.
AGT-Q06-R05,AGT-Q06,Agent,Infinite Loops,100,Compliant,Automated circuit breakers for recursive patterns via Resilience4j.
AGT-Q07-R01,AGT-Q07,Agent,Data Exfiltration,0,Gap,Agents send sensitive data to unverified endpoints.
AGT-Q07-R02,AGT-Q07,Agent,Data Exfiltration,25,Weak,Basic egress filtering on known tool endpoints.
AGT-Q07-R03,AGT-Q07,Agent,Data Exfiltration,50,Baseline,Static DLP scanning on common exfiltration paths.
AGT-Q07-R04,AGT-Q07,Agent,Data Exfiltration,75,Robust,Inline redaction of PII/secrets in agent tool outputs via Presidio.
AGT-Q07-R05,AGT-Q07,Agent,Data Exfiltration,100,Compliant,Real-time exfiltration blocking using Nightfall AI or Lakera Guard.
AGT-Q08-R01,AGT-Q08,Agent,Over-Automation,0,Gap,Fully autonomous execution of high-risk financial actions.
AGT-Q08-R02,AGT-Q08,Agent,Over-Automation,25,Weak,Post-execution alerts; no ability to halt actions.
AGT-Q08-R03,AGT-Q08,Agent,Over-Automation,50,Baseline,Manual flagging of critical tasks for potential review.
AGT-Q08-R04,AGT-Q08,Agent,Over-Automation,75,Robust,Risk-scored task classification and approval queues via n8n nodes.
AGT-Q08-R05,AGT-Q08,Agent,Over-Automation,100,Compliant,Hard human-in-the-loop gating for all financial tasks via LangGraph.
AGT-Q09-R01,AGT-Q09,Agent,Context Overflow,0,Gap,Excessive context leading to model hallucinations.
AGT-Q09-R02,AGT-Q09,Agent,Context Overflow,25,Weak,Manual prompt engineering to reduce context window usage.
AGT-Q09-R03,AGT-Q09,Agent,Context Overflow,50,Baseline,Hard token limits enforced on context windows.
AGT-Q09-R04,AGT-Q09,Agent,Context Overflow,75,Robust,Dynamic context truncation and window management via LangChain.
AGT-Q09-R05,AGT-Q09,Agent,Context Overflow,100,Compliant,Intelligent summarisation and schema validation via Pydantic.
AGT-Q10-R01,AGT-Q10,Agent,Tool Chain Abuse,0,Gap,Chaining benign tools for malicious outcomes.
AGT-Q10-R02,AGT-Q10,Agent,Tool Chain Abuse,25,Weak,Manual review of common tool-chain runbooks.
AGT-Q10-R03,AGT-Q10,Agent,Tool Chain Abuse,50,Baseline,Policy-as-code approval for common sequences.
AGT-Q10-R04,AGT-Q10,Agent,Tool Chain Abuse,75,Robust,Risk-gated orchestration using Airflow sensors to score impact.
AGT-Q10-R05,AGT-Q10,Agent,Tool Chain Abuse,100,Compliant,Automated state transition checks via Temporal workflows.
API-Q01-R01,API-Q01,API,API Key Abuse,0,Gap,Static keys with no rotation or MFA.
API-Q01-R02,API-Q01,API,API Key Abuse,25,Weak,Long-lived keys with manual tracking.
API-Q01-R03,API-Q01,API,API Key Abuse,50,Baseline,Key rotation policy in place with vault storage.
API-Q01-R04,API-Q01,API,API Key Abuse,75,Robust,Automated rotation via HashiCorp Vault or AWS Secrets Manager.
API-Q01-R05,API-Q01,API,API Key Abuse,100,Compliant,"Short-lived JWTs and secure auth via OAuth2, Keycloak, or Auth0."
API-Q02-R01,API-Q02,API,Rate Limit Bypass,0,Gap,No throttling; high-volume extraction possible.
API-Q02-R02,API-Q02,API,Rate Limit Bypass,25,Weak,Static global limits applied at the gateway.
API-Q02-R03,API-Q02,API,Rate Limit Bypass,50,Baseline,Per-key and global rate limits implemented.
API-Q02-R04,API-Q02,API,Rate Limit Bypass,75,Robust,Behavioural detection for anomaly query volumes via Splunk UEBA.
API-Q02-R05,API-Q02,API,Rate Limit Bypass,100,Compliant,ML-based baselines and real-time adaptive throttling.
API-Q03-R01,API-Q03,API,Input Injection,0,Gap,No backend validation; malicious payloads accepted.
API-Q03-R02,API-Q03,API,Input Injection,25,Weak,Basic keyword-based input sanitisation.
API-Q03-R03,API-Q03,API,Input Injection,50,Baseline,Backend validation logic embedded in the API layer.
API-Q03-R04,API-Q03,API,Input Injection,75,Robust,Inline DLP scanning before context release via Nightfall AI or Presidio.
API-Q03-R05,API-Q03,API,Input Injection,100,Compliant,Zero-trust ingress with real-time payload inspection using Lakera Guard.
API-Q04-R01,API-Q04,API,Over-Permissive Scopes,0,Gap,Universal tokens allowing all operations.
API-Q04-R02,API-Q04,API,Over-Permissive Scopes,25,Weak,Broad role-based access; high privilege escalation risk.
API-Q04-R03,API-Q04,API,Over-Permissive Scopes,50,Baseline,Granular RBAC scoping APIs by asset type and action.
API-Q04-R04,API-Q04,API,Over-Permissive Scopes,75,Robust,FastAPI-integrated middleware using Casbin for fine-grained control.
API-Q04-R05,API-Q04,API,Over-Permissive Scopes,100,Compliant,Dynamic scope assignment and just-in-time (JIT) API permissions.
API-Q05-R01,API-Q05,API,Verbose Errors,0,Gap,Full stack traces leaked in error responses.
API-Q05-R02,API-Q05,API,Verbose Errors,25,Weak,Generic error messages with some technical detail.
API-Q05-R03,API-Q05,API,Verbose Errors,50,Baseline,Internal codes mapped to external IDs; no secrets leaked.
API-Q05-R04,API-Q05,API,Verbose Errors,75,Robust,Automated redaction of error payloads via Presidio.
API-Q05-R05,API-Q05,API,Verbose Errors,100,Compliant,Fully sanitized/encrypted logs with no prompt or secret leakage.
API-Q06-R01,API-Q06,API,No Client Isolation,0,Gap,Shared keys for all tenants; multi-tenant compromise risk.
API-Q06-R02,API-Q06,API,No Client Isolation,25,Weak,Static client buckets; no strict isolation.
API-Q06-R03,API-Q06,API,No Client Isolation,50,Baseline,Token-based identification of unique clients.
API-Q06-R04,API-Q06,API,No Client Isolation,75,Robust,RBAC-enforced isolation by action and asset using Casbin.
API-Q06-R05,API-Q06,API,No Client Isolation,100,Compliant,Cryptographic multi-tenant isolation with per-client routing.
API-Q07-R01,API-Q07,API,Missing Quotas,0,Gap,Unbounded compute/token consumption.
API-Q07-R02,API-Q07,API,Missing Quotas,25,Weak,Manual billing alerts triggered after thresholds.
API-Q07-R03,API-Q07,API,Missing Quotas,50,Baseline,Static monthly quotas assigned per API key.
API-Q07-R04,API-Q07,API,Missing Quotas,75,Robust,Tiered quotas enforced via Redis-backed limiting.
API-Q07-R05,API-Q07,API,Missing Quotas,100,Compliant,Real-time token gating and automated resource circuit breakers.
API-Q08-R01,API-Q08,API,Weak Rate Limiting,0,Gap,No protection against service degradation.
API-Q08-R02,API-Q08,API,Weak Rate Limiting,25,Weak,Basic IP-based rate limiting.
API-Q08-R03,API-Q08,API,Weak Rate Limiting,50,Baseline,Standard per-key rate limiting implementation.
API-Q08-R04,API-Q08,API,Weak Rate Limiting,75,Robust,Distributed limiting and burst protection using FastAPI-Limiter.
API-Q08-R05,API-Q08,API,Weak Rate Limiting,100,Compliant,Global protective gates with Redis-backed persistence.
API-Q09-R01,API-Q09,API,No Logging,0,Gap,No traffic logs; blind monitoring of abuse.
API-Q09-R02,API-Q09,API,No Logging,25,Weak,Standard access logs; unstructured text.
API-Q09-R03,API-Q09,API,No Logging,50,Baseline,Structured decision and action logs.
API-Q09-R04,API-Q09,API,No Logging,75,Robust,Tamper-proof traces stored in ELK stack or ClickHouse.
API-Q09-R05,API-Q09,API,No Logging,100,Compliant,Full replayable traces for all orchestration paths.
API-Q10-R01,API-Q10,API,Legacy Auth,0,Gap,Basic auth or keys without rotation.
API-Q10-R02,API-Q10,API,Legacy Auth,25,Weak,Static keys with irregular manual updates.
API-Q10-R03,API-Q10,API,Legacy Auth,50,Baseline,Standard OAuth2 implementation.
API-Q10-R04,API-Q10,API,Legacy Auth,75,Robust,Vault-integrated rotation with defined policies.
API-Q10-R05,API-Q10,API,Legacy Auth,100,Compliant,MFA enabled with short-lived JWTs for all model endpoints.
DST-Q01-R01,DST-Q01,Dataset,Data Poisoning,0,Gap,No lineage or verification. Untracked data modifications allow malicious samples.
DST-Q01-R02,DST-Q01,Dataset,Data Poisoning,25,Weak,Manual tracking. Logs of primary sources; no systematic integrity scanning.
DST-Q01-R03,DST-Q01,Dataset,Data Poisoning,50,Baseline,Automated internal lineage. Basic provenance tracking via Apache Atlas.
DST-Q01-R04,DST-Q01,Dataset,Data Poisoning,75,Robust,Validated integrity. Provenance tracked upstream; hashes validated via DataHub.
DST-Q01-R05,DST-Q01,Dataset,Data Poisoning,100,Compliant,Leading detection. Real-time adversarial scans using ART or CleanLab.
DST-Q02-R01,DST-Q02,Dataset,PII Leakage,0,Gap,Raw PII exposed. Discovery or masking is absent; model memorises sensitive records.
DST-Q02-R02,DST-Q02,Dataset,PII Leakage,25,Weak,Manual redaction. Ad-hoc removal of high-profile fields; no automation.
DST-Q02-R03,DST-Q02,Dataset,PII Leakage,50,Baseline,Automated scanners. Pipeline scanners like Nabu Casa flag some data.
DST-Q02-R04,DST-Q02,Dataset,PII Leakage,75,Robust,Automated classification. Data classified/quarantined via Microsoft Information Protection.
DST-Q02-R05,DST-Q02,Dataset,PII Leakage,100,Compliant,Real-time DLP. Validated tokenisation and privacy layers using Presidio or Opacus.
DST-Q03-R01,DST-Q03,Dataset,Data Drift,0,Gap,No monitoring. Silent distribution shifts cause model performance degradation.
DST-Q03-R02,DST-Q03,Dataset,Data Drift,25,Weak,Irregular checks. Ad-hoc manual verification of data distribution.
DST-Q03-R03,DST-Q03,Dataset,Data Drift,50,Baseline,Schema validation. Freshness and schema checks via Data Quality DBT.
DST-Q03-R04,DST-Q03,Dataset,Data Drift,75,Robust,Continuous monitoring. Drift alerts and tracking implemented via Evidently AI.
DST-Q03-R05,DST-Q03,Dataset,Data Drift,100,Compliant,Automated gating. Drift-driven circuit breakers using WhyLabs and Great Expectations.
DST-Q04-R01,DST-Q04,Dataset,Secrets Exposure,0,Gap,Cleartext credentials. API keys or credentials embedded in training/RAG data.
DST-Q04-R02,DST-Q04,Dataset,Secrets Exposure,25,Weak,Manual search. Ad-hoc removal of keys upon discovery; high risk of oversight.
DST-Q04-R03,DST-Q04,Dataset,Secrets Exposure,50,Baseline,Automated scanning. Keyword scanners in pipelines for common secret formats.
DST-Q04-R04,DST-Q04,Dataset,Secrets Exposure,75,Robust,Ingestion masking. Secrets automatically identified/redacted via Microsoft Information Protection.
DST-Q04-R05,DST-Q04,Dataset,Secrets Exposure,100,Compliant,Vault integration. Automated revocation and sanitisation via HashiCorp Vault.
DST-Q05-R01,DST-Q05,Dataset,Supply Chain Poisoning,0,Gap,No 3rd party verification. Ingestion from public repos without technical checks.
DST-Q05-R02,DST-Q05,Dataset,Supply Chain Poisoning,25,Weak,Reputation reliance. Trusting vendor claims without independent verification.
DST-Q05-R03,DST-Q05,Dataset,Supply Chain Poisoning,50,Baseline,Periodic audits. Manual auditing of third-party data samples quarterly.
DST-Q05-R04,DST-Q05,Dataset,Supply Chain Poisoning,75,Robust,Automated 3rd party lineage. Checksum validation and source tracking via DataHub.
DST-Q05-R05,DST-Q05,Dataset,Supply Chain Poisoning,100,Compliant,Real-time integrity. Continuous monitoring of external repositories via ART tools.
DST-Q06-R01,DST-Q06,Dataset,Over-Retention,0,Gap,Indefinite storage. Long-term storage expands the breach blast radius.
DST-Q06-R02,DST-Q06,Dataset,Over-Retention,25,Weak,Manual deletion. Data purged manually following project closure; inconsistent.
DST-Q06-R03,DST-Q06,Dataset,Over-Retention,50,Baseline,Policy defined. Retention periods defined by data class; manually enforced.
DST-Q06-R04,DST-Q06,Dataset,Over-Retention,75,Robust,Automated purging. Cron-based purging and PostgreSQL partitioning implemented.
DST-Q06-R05,DST-Q06,Dataset,Over-Retention,100,Compliant,Lifecycle-driven. Automated policy-driven deletion via S3 lifecycle policies or Airflow.
DST-Q07-R01,DST-Q07,Dataset,Lineage Gaps,0,Gap,No modification tracking. Incident investigations fail due to lack of audit trails.
DST-Q07-R02,DST-Q07,Dataset,Lineage Gaps,25,Weak,Manual spreadsheets. Major versions tracked in shared documents.
DST-Q07-R03,DST-Q07,Dataset,Lineage Gaps,50,Baseline,Final set versioning. Versioning applied only to final production training sets.
DST-Q07-R04,DST-Q07,Dataset,Lineage Gaps,75,Robust,Full provenance. Audit trails for all modifications tracked via Apache Atlas.
DST-Q07-R05,DST-Q07,Dataset,Lineage Gaps,100,Compliant,"Metadata management. Real-time, comprehensive lineage mapping via DataHub."
DST-Q08-R01,DST-Q08,Dataset,Quality Degradation,0,Gap,No validation. Garbage-in-garbage-out leads to systematic decision errors.
DST-Q08-R02,DST-Q08,Dataset,Quality Degradation,25,Weak,Ad-hoc samples. Visual inspection of samples before training.
DST-Q08-R03,DST-Q08,Dataset,Quality Degradation,50,Baseline,Automated checks. Freshness and schema checks run at pipeline ingress.
DST-Q08-R04,DST-Q08,Dataset,Quality Degradation,75,Robust,Continuous QA. End-to-end signal quality validation via Monte Carlo.
DST-Q08-R05,DST-Q08,Dataset,Quality Degradation,100,Compliant,CI/CD quality gating. Automated pipeline halts for quality failures via Great Expectations.
DST-Q09-R01,DST-Q09,Dataset,Membership Inference,0,Gap,No privacy controls. Attackers can determine if specific records were in training set.
DST-Q09-R02,DST-Q09,Dataset,Membership Inference,25,Weak,Basic masking. Standard identification of primary keys only.
DST-Q09-R03,DST-Q09,Dataset,Membership Inference,50,Baseline,Statistical de-identification. Manual application of Faker library for anonymisation.
DST-Q09-R04,DST-Q09,Dataset,Membership Inference,75,Robust,Advanced pseudonymisation. Validated de-identification tested for reconstruction.
DST-Q09-R05,DST-Q09,Dataset,Membership Inference,100,Compliant,DP Integration. Differential privacy integrated into training via Opacus.
DST-Q10-R01,DST-Q10,Dataset,Synthetic Data Failure,0,Gap,No quality testing. Poor synthetic data mimics real poisoning effects.
DST-Q10-R02,DST-Q10,Dataset,Synthetic Data Failure,25,Weak,Visual inspection. Samples reviewed manually for realism.
DST-Q10-R03,DST-Q10,Dataset,Synthetic Data Failure,50,Baseline,Statistical comparison. Automated comparison between real and synthetic sets.
DST-Q10-R04,DST-Q10,Dataset,Synthetic Data Failure,75,Robust,Poison detection. Poison indicators scanned in all synthetic sets pre-usage.
DST-Q10-R05,DST-Q10,Dataset,Synthetic Data Failure,100,Compliant,Adversarial gating. Synthetic quality gating via Adversarial Robustness Toolbox (ART).
